# TwemojiMozilla.ttf v0.6.0 GSUB ligature sequences (2223)

#️⃣	U+0023 U+FE0F U+20E3
*️⃣	U+002A U+FE0F U+20E3
👷‍♀️	U+1F477 U+200D U+2640 U+FE0F
👷‍♂️	U+1F477 U+200D U+2642 U+FE0F
👷🏻	U+1F477 U+1F3FB
👷🏻‍♀️	U+1F477 U+1F3FB U+200D U+2640 U+FE0F
👷🏻‍♂️	U+1F477 U+1F3FB U+200D U+2642 U+FE0F
👷🏼	U+1F477 U+1F3FC
👷🏼‍♀️	U+1F477 U+1F3FC U+200D U+2640 U+FE0F
👷🏼‍♂️	U+1F477 U+1F3FC U+200D U+2642 U+FE0F
👷🏽	U+1F477 U+1F3FD
👷🏽‍♀️	U+1F477 U+1F3FD U+200D U+2640 U+FE0F
👷🏽‍♂️	U+1F477 U+1F3FD U+200D U+2642 U+FE0F
👷🏾	U+1F477 U+1F3FE
👷🏾‍♀️	U+1F477 U+1F3FE U+200D U+2640 U+FE0F
👷🏾‍♂️	U+1F477 U+1F3FE U+200D U+2642 U+FE0F
👷🏿	U+1F477 U+1F3FF
👷🏿‍♀️	U+1F477 U+1F3FF U+200D U+2640 U+FE0F
👷🏿‍♂️	U+1F477 U+1F3FF U+200D U+2642 U+FE0F
👸🏻	U+1F478 U+1F3FB
👸🏼	U+1F478 U+1F3FC
👸🏽	U+1F478 U+1F3FD
👸🏾	U+1F478 U+1F3FE
👸🏿	U+1F478 U+1F3FF
👼🏻	U+1F47C U+1F3FB
👼🏼	U+1F47C U+1F3FC
👼🏽	U+1F47C U+1F3FD
👼🏾	U+1F47C U+1F3FE
👼🏿	U+1F47C U+1F3FF
💁‍♀️	U+1F481 U+200D U+2640 U+FE0F
💁‍♂️	U+1F481 U+200D U+2642 U+FE0F
💁🏻	U+1F481 U+1F3FB
💁🏻‍♀️	U+1F481 U+1F3FB U+200D U+2640 U+FE0F
💁🏻‍♂️	U+1F481 U+1F3FB U+200D U+2642 U+FE0F
💁🏼	U+1F481 U+1F3FC
💁🏼‍♀️	U+1F481 U+1F3FC U+200D U+2640 U+FE0F
💁🏼‍♂️	U+1F481 U+1F3FC U+200D U+2642 U+FE0F
💁🏽	U+1F481 U+1F3FD
💁🏽‍♀️	U+1F481 U+1F3FD U+200D U+2640 U+FE0F
💁🏽‍♂️	U+1F481 U+1F3FD U+200D U+2642 U+FE0F
💁🏾	U+1F481 U+1F3FE
💁🏾‍♀️	U+1F481 U+1F3FE U+200D U+2640 U+FE0F
💁🏾‍♂️	U+1F481 U+1F3FE U+200D U+2642 U+FE0F
💁🏿	U+1F481 U+1F3FF
💁🏿‍♀️	U+1F481 U+1F3FF U+200D U+2640 U+FE0F
💁🏿‍♂️	U+1F481 U+1F3FF U+200D U+2642 U+FE0F
💂‍♀️	U+1F482 U+200D U+2640 U+FE0F
💂‍♂️	U+1F482 U+200D U+2642 U+FE0F
💂🏻	U+1F482 U+1F3FB
💂🏻‍♀️	U+1F482 U+1F3FB U+200D U+2640 U+FE0F
💂🏻‍♂️	U+1F482 U+1F3FB U+200D U+2642 U+FE0F
💂🏼	U+1F482 U+1F3FC
💂🏼‍♀️	U+1F482 U+1F3FC U+200D U+2640 U+FE0F
💂🏼‍♂️	U+1F482 U+1F3FC U+200D U+2642 U+FE0F
💂🏽	U+1F482 U+1F3FD
💂🏽‍♀️	U+1F482 U+1F3FD U+200D U+2640 U+FE0F
💂🏽‍♂️	U+1F482 U+1F3FD U+200D U+2642 U+FE0F
💂🏾	U+1F482 U+1F3FE
💂🏾‍♀️	U+1F482 U+1F3FE U+200D U+2640 U+FE0F
💂🏾‍♂️	U+1F482 U+1F3FE U+200D U+2642 U+FE0F
💂🏿	U+1F482 U+1F3FF
💂🏿‍♀️	U+1F482 U+1F3FF U+200D U+2640 U+FE0F
💂🏿‍♂️	U+1F482 U+1F3FF U+200D U+2642 U+FE0F
💃🏻	U+1F483 U+1F3FB
💃🏼	U+1F483 U+1F3FC
💃🏽	U+1F483 U+1F3FD
💃🏾	U+1F483 U+1F3FE
💃🏿	U+1F483 U+1F3FF
💅🏻	U+1F485 U+1F3FB
💅🏼	U+1F485 U+1F3FC
💅🏽	U+1F485 U+1F3FD
💅🏾	U+1F485 U+1F3FE
💅🏿	U+1F485 U+1F3FF
💆‍♀️	U+1F486 U+200D U+2640 U+FE0F
💆‍♂️	U+1F486 U+200D U+2642 U+FE0F
💆🏻	U+1F486 U+1F3FB
💆🏻‍♀️	U+1F486 U+1F3FB U+200D U+2640 U+FE0F
💆🏻‍♂️	U+1F486 U+1F3FB U+200D U+2642 U+FE0F
💆🏼	U+1F486 U+1F3FC
💆🏼‍♀️	U+1F486 U+1F3FC U+200D U+2640 U+FE0F
💆🏼‍♂️	U+1F486 U+1F3FC U+200D U+2642 U+FE0F
💆🏽	U+1F486 U+1F3FD
💆🏽‍♀️	U+1F486 U+1F3FD U+200D U+2640 U+FE0F
💆🏽‍♂️	U+1F486 U+1F3FD U+200D U+2642 U+FE0F
💆🏾	U+1F486 U+1F3FE
💆🏾‍♀️	U+1F486 U+1F3FE U+200D U+2640 U+FE0F
💆🏾‍♂️	U+1F486 U+1F3FE U+200D U+2642 U+FE0F
💆🏿	U+1F486 U+1F3FF
💆🏿‍♀️	U+1F486 U+1F3FF U+200D U+2640 U+FE0F
💆🏿‍♂️	U+1F486 U+1F3FF U+200D U+2642 U+FE0F
💇‍♀️	U+1F487 U+200D U+2640 U+FE0F
💇‍♂️	U+1F487 U+200D U+2642 U+FE0F
💇🏻	U+1F487 U+1F3FB
💇🏻‍♀️	U+1F487 U+1F3FB U+200D U+2640 U+FE0F
💇🏻‍♂️	U+1F487 U+1F3FB U+200D U+2642 U+FE0F
💇🏼	U+1F487 U+1F3FC
💇🏼‍♀️	U+1F487 U+1F3FC U+200D U+2640 U+FE0F
💇🏼‍♂️	U+1F487 U+1F3FC U+200D U+2642 U+FE0F
💇🏽	U+1F487 U+1F3FD
💇🏽‍♀️	U+1F487 U+1F3FD U+200D U+2640 U+FE0F
💇🏽‍♂️	U+1F487 U+1F3FD U+200D U+2642 U+FE0F
💇🏾	U+1F487 U+1F3FE
💇🏾‍♀️	U+1F487 U+1F3FE U+200D U+2640 U+FE0F
💇🏾‍♂️	U+1F487 U+1F3FE U+200D U+2642 U+FE0F
💇🏿	U+1F487 U+1F3FF
💇🏿‍♀️	U+1F487 U+1F3FF U+200D U+2640 U+FE0F
💇🏿‍♂️	U+1F487 U+1F3FF U+200D U+2642 U+FE0F
💏🏻	U+1F48F U+1F3FB
💏🏼	U+1F48F U+1F3FC
💏🏽	U+1F48F U+1F3FD
💏🏾	U+1F48F U+1F3FE
💏🏿	U+1F48F U+1F3FF
💑🏻	U+1F491 U+1F3FB
💑🏼	U+1F491 U+1F3FC
💑🏽	U+1F491 U+1F3FD
💑🏾	U+1F491 U+1F3FE
💑🏿	U+1F491 U+1F3FF
💪🏻	U+1F4AA U+1F3FB
💪🏼	U+1F4AA U+1F3FC
💪🏽	U+1F4AA U+1F3FD
💪🏾	U+1F4AA U+1F3FE
💪🏿	U+1F4AA U+1F3FF
🕴️‍♀️	U+1F574 U+FE0F U+200D U+2640 U+FE0F
🕴️‍♂️	U+1F574 U+FE0F U+200D U+2642 U+FE0F
🕴🏻	U+1F574 U+1F3FB
🕴🏻‍♀️	U+1F574 U+1F3FB U+200D U+2640 U+FE0F
🕴🏻‍♂️	U+1F574 U+1F3FB U+200D U+2642 U+FE0F
🕴🏼	U+1F574 U+1F3FC
🕴🏼‍♀️	U+1F574 U+1F3FC U+200D U+2640 U+FE0F
🕴🏼‍♂️	U+1F574 U+1F3FC U+200D U+2642 U+FE0F
🕴🏽	U+1F574 U+1F3FD
🕴🏽‍♀️	U+1F574 U+1F3FD U+200D U+2640 U+FE0F
🕴🏽‍♂️	U+1F574 U+1F3FD U+200D U+2642 U+FE0F
🕴🏾	U+1F574 U+1F3FE
🕴🏾‍♀️	U+1F574 U+1F3FE U+200D U+2640 U+FE0F
🕴🏾‍♂️	U+1F574 U+1F3FE U+200D U+2642 U+FE0F
🕴🏿	U+1F574 U+1F3FF
🕴🏿‍♀️	U+1F574 U+1F3FF U+200D U+2640 U+FE0F
🕴🏿‍♂️	U+1F574 U+1F3FF U+200D U+2642 U+FE0F
🕵️‍♀️	U+1F575 U+FE0F U+200D U+2640 U+FE0F
🕵️‍♂️	U+1F575 U+FE0F U+200D U+2642 U+FE0F
🕵🏻	U+1F575 U+1F3FB
🕵🏻‍♀️	U+1F575 U+1F3FB U+200D U+2640 U+FE0F
🕵🏻‍♂️	U+1F575 U+1F3FB U+200D U+2642 U+FE0F
🕵🏼	U+1F575 U+1F3FC
🕵🏼‍♀️	U+1F575 U+1F3FC U+200D U+2640 U+FE0F
🕵🏼‍♂️	U+1F575 U+1F3FC U+200D U+2642 U+FE0F
🕵🏽	U+1F575 U+1F3FD
🕵🏽‍♀️	U+1F575 U+1F3FD U+200D U+2640 U+FE0F
🕵🏽‍♂️	U+1F575 U+1F3FD U+200D U+2642 U+FE0F
🕵🏾	U+1F575 U+1F3FE
🕵🏾‍♀️	U+1F575 U+1F3FE U+200D U+2640 U+FE0F
🕵🏾‍♂️	U+1F575 U+1F3FE U+200D U+2642 U+FE0F
🕵🏿	U+1F575 U+1F3FF
🕵🏿‍♀️	U+1F575 U+1F3FF U+200D U+2640 U+FE0F
🕵🏿‍♂️	U+1F575 U+1F3FF U+200D U+2642 U+FE0F
🕺🏻	U+1F57A U+1F3FB
🕺🏼	U+1F57A U+1F3FC
🕺🏽	U+1F57A U+1F3FD
🕺🏾	U+1F57A U+1F3FE
🕺🏿	U+1F57A U+1F3FF
🖐🏻	U+1F590 U+1F3FB
🖐🏼	U+1F590 U+1F3FC
🖐🏽	U+1F590 U+1F3FD
🖐🏾	U+1F590 U+1F3FE
🖐🏿	U+1F590 U+1F3FF
🖕🏻	U+1F595 U+1F3FB
🖕🏼	U+1F595 U+1F3FC
🖕🏽	U+1F595 U+1F3FD
🖕🏾	U+1F595 U+1F3FE
🖕🏿	U+1F595 U+1F3FF
🖖🏻	U+1F596 U+1F3FB
🖖🏼	U+1F596 U+1F3FC
🖖🏽	U+1F596 U+1F3FD
🖖🏾	U+1F596 U+1F3FE
🖖🏿	U+1F596 U+1F3FF
😮‍💨	U+1F62E U+200D U+1F4A8
😵‍💫	U+1F635 U+200D U+1F4AB
😶‍🌫️	U+1F636 U+200D U+1F32B U+FE0F
🙅‍♀️	U+1F645 U+200D U+2640 U+FE0F
🙅‍♂️	U+1F645 U+200D U+2642 U+FE0F
🙅🏻	U+1F645 U+1F3FB
🙅🏻‍♀️	U+1F645 U+1F3FB U+200D U+2640 U+FE0F
🙅🏻‍♂️	U+1F645 U+1F3FB U+200D U+2642 U+FE0F
🙅🏼	U+1F645 U+1F3FC
🙅🏼‍♀️	U+1F645 U+1F3FC U+200D U+2640 U+FE0F
🙅🏼‍♂️	U+1F645 U+1F3FC U+200D U+2642 U+FE0F
🙅🏽	U+1F645 U+1F3FD
🙅🏽‍♀️	U+1F645 U+1F3FD U+200D U+2640 U+FE0F
🙅🏽‍♂️	U+1F645 U+1F3FD U+200D U+2642 U+FE0F
🙅🏾	U+1F645 U+1F3FE
🙅🏾‍♀️	U+1F645 U+1F3FE U+200D U+2640 U+FE0F
🙅🏾‍♂️	U+1F645 U+1F3FE U+200D U+2642 U+FE0F
🙅🏿	U+1F645 U+1F3FF
🙅🏿‍♀️	U+1F645 U+1F3FF U+200D U+2640 U+FE0F
🙅🏿‍♂️	U+1F645 U+1F3FF U+200D U+2642 U+FE0F
🙆‍♀️	U+1F646 U+200D U+2640 U+FE0F
🙆‍♂️	U+1F646 U+200D U+2642 U+FE0F
🙆🏻	U+1F646 U+1F3FB
🙆🏻‍♀️	U+1F646 U+1F3FB U+200D U+2640 U+FE0F
🙆🏻‍♂️	U+1F646 U+1F3FB U+200D U+2642 U+FE0F
🙆🏼	U+1F646 U+1F3FC
🙆🏼‍♀️	U+1F646 U+1F3FC U+200D U+2640 U+FE0F
🙆🏼‍♂️	U+1F646 U+1F3FC U+200D U+2642 U+FE0F
🙆🏽	U+1F646 U+1F3FD
🙆🏽‍♀️	U+1F646 U+1F3FD U+200D U+2640 U+FE0F
🙆🏽‍♂️	U+1F646 U+1F3FD U+200D U+2642 U+FE0F
🙆🏾	U+1F646 U+1F3FE
🙆🏾‍♀️	U+1F646 U+1F3FE U+200D U+2640 U+FE0F
🙆🏾‍♂️	U+1F646 U+1F3FE U+200D U+2642 U+FE0F
🙆🏿	U+1F646 U+1F3FF
🙆🏿‍♀️	U+1F646 U+1F3FF U+200D U+2640 U+FE0F
🙆🏿‍♂️	U+1F646 U+1F3FF U+200D U+2642 U+FE0F
🙇‍♀️	U+1F647 U+200D U+2640 U+FE0F
🙇‍♂️	U+1F647 U+200D U+2642 U+FE0F
🙇🏻	U+1F647 U+1F3FB
🙇🏻‍♀️	U+1F647 U+1F3FB U+200D U+2640 U+FE0F
🙇🏻‍♂️	U+1F647 U+1F3FB U+200D U+2642 U+FE0F
🙇🏼	U+1F647 U+1F3FC
🙇🏼‍♀️	U+1F647 U+1F3FC U+200D U+2640 U+FE0F
🙇🏼‍♂️	U+1F647 U+1F3FC U+200D U+2642 U+FE0F
🙇🏽	U+1F647 U+1F3FD
🙇🏽‍♀️	U+1F647 U+1F3FD U+200D U+2640 U+FE0F
🙇🏽‍♂️	U+1F647 U+1F3FD U+200D U+2642 U+FE0F
🙇🏾	U+1F647 U+1F3FE
🙇🏾‍♀️	U+1F647 U+1F3FE U+200D U+2640 U+FE0F
🙇🏾‍♂️	U+1F647 U+1F3FE U+200D U+2642 U+FE0F
🙇🏿	U+1F647 U+1F3FF
🙇🏿‍♀️	U+1F647 U+1F3FF U+200D U+2640 U+FE0F
🙇🏿‍♂️	U+1F647 U+1F3FF U+200D U+2642 U+FE0F
🙋‍♀️	U+1F64B U+200D U+2640 U+FE0F
🙋‍♂️	U+1F64B U+200D U+2642 U+FE0F
🙋🏻	U+1F64B U+1F3FB
🙋🏻‍♀️	U+1F64B U+1F3FB U+200D U+2640 U+FE0F
🙋🏻‍♂️	U+1F64B U+1F3FB U+200D U+2642 U+FE0F
🙋🏼	U+1F64B U+1F3FC
🙋🏼‍♀️	U+1F64B U+1F3FC U+200D U+2640 U+FE0F
🙋🏼‍♂️	U+1F64B U+1F3FC U+200D U+2642 U+FE0F
🙋🏽	U+1F64B U+1F3FD
🙋🏽‍♀️	U+1F64B U+1F3FD U+200D U+2640 U+FE0F
🙋🏽‍♂️	U+1F64B U+1F3FD U+200D U+2642 U+FE0F
🙋🏾	U+1F64B U+1F3FE
🙋🏾‍♀️	U+1F64B U+1F3FE U+200D U+2640 U+FE0F
🙋🏾‍♂️	U+1F64B U+1F3FE U+200D U+2642 U+FE0F
🙋🏿	U+1F64B U+1F3FF
🙋🏿‍♀️	U+1F64B U+1F3FF U+200D U+2640 U+FE0F
🙋🏿‍♂️	U+1F64B U+1F3FF U+200D U+2642 U+FE0F
🙌🏻	U+1F64C U+1F3FB
🙌🏼	U+1F64C U+1F3FC
🙌🏽	U+1F64C U+1F3FD
🙌🏾	U+1F64C U+1F3FE
🙌🏿	U+1F64C U+1F3FF
🙍‍♀️	U+1F64D U+200D U+2640 U+FE0F
🙍‍♂️	U+1F64D U+200D U+2642 U+FE0F
🙍🏻	U+1F64D U+1F3FB
🙍🏻‍♀️	U+1F64D U+1F3FB U+200D U+2640 U+FE0F
🙍🏻‍♂️	U+1F64D U+1F3FB U+200D U+2642 U+FE0F
🙍🏼	U+1F64D U+1F3FC
🙍🏼‍♀️	U+1F64D U+1F3FC U+200D U+2640 U+FE0F
🙍🏼‍♂️	U+1F64D U+1F3FC U+200D U+2642 U+FE0F
🙍🏽	U+1F64D U+1F3FD
🙍🏽‍♀️	U+1F64D U+1F3FD U+200D U+2640 U+FE0F
🙍🏽‍♂️	U+1F64D U+1F3FD U+200D U+2642 U+FE0F
🙍🏾	U+1F64D U+1F3FE
🙍🏾‍♀️	U+1F64D U+1F3FE U+200D U+2640 U+FE0F
🙍🏾‍♂️	U+1F64D U+1F3FE U+200D U+2642 U+FE0F
🙍🏿	U+1F64D U+1F3FF
🙍🏿‍♀️	U+1F64D U+1F3FF U+200D U+2640 U+FE0F
🙍🏿‍♂️	U+1F64D U+1F3FF U+200D U+2642 U+FE0F
🙎‍♀️	U+1F64E U+200D U+2640 U+FE0F
🙎‍♂️	U+1F64E U+200D U+2642 U+FE0F
🙎🏻	U+1F64E U+1F3FB
🙎🏻‍♀️	U+1F64E U+1F3FB U+200D U+2640 U+FE0F
🙎🏻‍♂️	U+1F64E U+1F3FB U+200D U+2642 U+FE0F
🙎🏼	U+1F64E U+1F3FC
🙎🏼‍♀️	U+1F64E U+1F3FC U+200D U+2640 U+FE0F
🙎🏼‍♂️	U+1F64E U+1F3FC U+200D U+2642 U+FE0F
🙎🏽	U+1F64E U+1F3FD
🙎🏽‍♀️	U+1F64E U+1F3FD U+200D U+2640 U+FE0F
🙎🏽‍♂️	U+1F64E U+1F3FD U+200D U+2642 U+FE0F
🙎🏾	U+1F64E U+1F3FE
🙎🏾‍♀️	U+1F64E U+1F3FE U+200D U+2640 U+FE0F
🙎🏾‍♂️	U+1F64E U+1F3FE U+200D U+2642 U+FE0F
🙎🏿	U+1F64E U+1F3FF
🙎🏿‍♀️	U+1F64E U+1F3FF U+200D U+2640 U+FE0F
🙎🏿‍♂️	U+1F64E U+1F3FF U+200D U+2642 U+FE0F
🙏🏻	U+1F64F U+1F3FB
🙏🏼	U+1F64F U+1F3FC
🙏🏽	U+1F64F U+1F3FD
🙏🏾	U+1F64F U+1F3FE
🙏🏿	U+1F64F U+1F3FF
🚣‍♀️	U+1F6A3 U+200D U+2640 U+FE0F
🚣‍♂️	U+1F6A3 U+200D U+2642 U+FE0F
🚣🏻	U+1F6A3 U+1F3FB
🚣🏻‍♀️	U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F
🚣🏻‍♂️	U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F
🚣🏼	U+1F6A3 U+1F3FC
🚣🏼‍♀️	U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F
🚣🏼‍♂️	U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F
🚣🏽	U+1F6A3 U+1F3FD
🚣🏽‍♀️	U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F
🚣🏽‍♂️	U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F
🚣🏾	U+1F6A3 U+1F3FE
🚣🏾‍♀️	U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F
🚣🏾‍♂️	U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F
🚣🏿	U+1F6A3 U+1F3FF
🚣🏿‍♀️	U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F
🚣🏿‍♂️	U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F
🚴‍♀️	U+1F6B4 U+200D U+2640 U+FE0F
🚴‍♂️	U+1F6B4 U+200D U+2642 U+FE0F
🚴🏻	U+1F6B4 U+1F3FB
🚴🏻‍♀️	U+1F6B4 U+1F3FB U+200D U+2640 U+FE0F
🚴🏻‍♂️	U+1F6B4 U+1F3FB U+200D U+2642 U+FE0F
🚴🏼	U+1F6B4 U+1F3FC
🚴🏼‍♀️	U+1F6B4 U+1F3FC U+200D U+2640 U+FE0F
🚴🏼‍♂️	U+1F6B4 U+1F3FC U+200D U+2642 U+FE0F
🚴🏽	U+1F6B4 U+1F3FD
🚴🏽‍♀️	U+1F6B4 U+1F3FD U+200D U+2640 U+FE0F
🚴🏽‍♂️	U+1F6B4 U+1F3FD U+200D U+2642 U+FE0F
🚴🏾	U+1F6B4 U+1F3FE
🚴🏾‍♀️	U+1F6B4 U+1F3FE U+200D U+2640 U+FE0F
🚴🏾‍♂️	U+1F6B4 U+1F3FE U+200D U+2642 U+FE0F
🚴🏿	U+1F6B4 U+1F3FF
🚴🏿‍♀️	U+1F6B4 U+1F3FF U+200D U+2640 U+FE0F
🚴🏿‍♂️	U+1F6B4 U+1F3FF U+200D U+2642 U+FE0F
🚵‍♀️	U+1F6B5 U+200D U+2640 U+FE0F
🚵‍♂️	U+1F6B5 U+200D U+2642 U+FE0F
🚵🏻	U+1F6B5 U+1F3FB
🚵🏻‍♀️	U+1F6B5 U+1F3FB U+200D U+2640 U+FE0F
🚵🏻‍♂️	U+1F6B5 U+1F3FB U+200D U+2642 U+FE0F
🚵🏼	U+1F6B5 U+1F3FC
🚵🏼‍♀️	U+1F6B5 U+1F3FC U+200D U+2640 U+FE0F
🚵🏼‍♂️	U+1F6B5 U+1F3FC U+200D U+2642 U+FE0F
🚵🏽	U+1F6B5 U+1F3FD
🚵🏽‍♀️	U+1F6B5 U+1F3FD U+200D U+2640 U+FE0F
🚵🏽‍♂️	U+1F6B5 U+1F3FD U+200D U+2642 U+FE0F
🚵🏾	U+1F6B5 U+1F3FE
🚵🏾‍♀️	U+1F6B5 U+1F3FE U+200D U+2640 U+FE0F
🚵🏾‍♂️	U+1F6B5 U+1F3FE U+200D U+2642 U+FE0F
🚵🏿	U+1F6B5 U+1F3FF
🚵🏿‍♀️	U+1F6B5 U+1F3FF U+200D U+2640 U+FE0F
🚵🏿‍♂️	U+1F6B5 U+1F3FF U+200D U+2642 U+FE0F
🚶‍♀️	U+1F6B6 U+200D U+2640 U+FE0F
🚶‍♂️	U+1F6B6 U+200D U+2642 U+FE0F
🚶🏻	U+1F6B6 U+1F3FB
🚶🏻‍♀️	U+1F6B6 U+1F3FB U+200D U+2640 U+FE0F
🚶🏻‍♂️	U+1F6B6 U+1F3FB U+200D U+2642 U+FE0F
🚶🏼	U+1F6B6 U+1F3FC
🚶🏼‍♀️	U+1F6B6 U+1F3FC U+200D U+2640 U+FE0F
🚶🏼‍♂️	U+1F6B6 U+1F3FC U+200D U+2642 U+FE0F
🚶🏽	U+1F6B6 U+1F3FD
🚶🏽‍♀️	U+1F6B6 U+1F3FD U+200D U+2640 U+FE0F
🚶🏽‍♂️	U+1F6B6 U+1F3FD U+200D U+2642 U+FE0F
🚶🏾	U+1F6B6 U+1F3FE
🚶🏾‍♀️	U+1F6B6 U+1F3FE U+200D U+2640 U+FE0F
🚶🏾‍♂️	U+1F6B6 U+1F3FE U+200D U+2642 U+FE0F
🚶🏿	U+1F6B6 U+1F3FF
🚶🏿‍♀️	U+1F6B6 U+1F3FF U+200D U+2640 U+FE0F
🚶🏿‍♂️	U+1F6B6 U+1F3FF U+200D U+2642 U+FE0F
🛀🏻	U+1F6C0 U+1F3FB
🛀🏼	U+1F6C0 U+1F3FC
🛀🏽	U+1F6C0 U+1F3FD
🛀🏾	U+1F6C0 U+1F3FE
🛀🏿	U+1F6C0 U+1F3FF
🛌🏻	U+1F6CC U+1F3FB
🛌🏼	U+1F6CC U+1F3FC
🛌🏽	U+1F6CC U+1F3FD
🛌🏾	U+1F6CC U+1F3FE
🛌🏿	U+1F6CC U+1F3FF
🤌🏻	U+1F90C U+1F3FB
🤌🏼	U+1F90C U+1F3FC
🤌🏽	U+1F90C U+1F3FD
🤌🏾	U+1F90C U+1F3FE
🤌🏿	U+1F90C U+1F3FF
🤏🏻	U+1F90F U+1F3FB
🤏🏼	U+1F90F U+1F3FC
🤏🏽	U+1F90F U+1F3FD
🤏🏾	U+1F90F U+1F3FE
🤏🏿	U+1F90F U+1F3FF
🤘🏻	U+1F918 U+1F3FB
🤘🏼	U+1F918 U+1F3FC
🤘🏽	U+1F918 U+1F3FD
🤘🏾	U+1F918 U+1F3FE
🤘🏿	U+1F918 U+1F3FF
🤙🏻	U+1F919 U+1F3FB
🤙🏼	U+1F919 U+1F3FC
🤙🏽	U+1F919 U+1F3FD
🤙🏾	U+1F919 U+1F3FE
🤙🏿	U+1F919 U+1F3FF
🤚🏻	U+1F91A U+1F3FB
🤚🏼	U+1F91A U+1F3FC
🤚🏽	U+1F91A U+1F3FD
🤚🏾	U+1F91A U+1F3FE
🤚🏿	U+1F91A U+1F3FF
🤛🏻	U+1F91B U+1F3FB
🤛🏼	U+1F91B U+1F3FC
🤛🏽	U+1F91B U+1F3FD
🤛🏾	U+1F91B U+1F3FE
🤛🏿	U+1F91B U+1F3FF
🤜🏻	U+1F91C U+1F3FB
🤜🏼	U+1F91C U+1F3FC
🤜🏽	U+1F91C U+1F3FD
🤜🏾	U+1F91C U+1F3FE
🤜🏿	U+1F91C U+1F3FF
🤞🏻	U+1F91E U+1F3FB
🤞🏼	U+1F91E U+1F3FC
🤞🏽	U+1F91E U+1F3FD
🤞🏾	U+1F91E U+1F3FE
🤞🏿	U+1F91E U+1F3FF
🤟🏻	U+1F91F U+1F3FB
🤟🏼	U+1F91F U+1F3FC
🤟🏽	U+1F91F U+1F3FD
🤟🏾	U+1F91F U+1F3FE
🤟🏿	U+1F91F U+1F3FF
🤦‍♀️	U+1F926 U+200D U+2640 U+FE0F
🤦‍♂️	U+1F926 U+200D U+2642 U+FE0F
🤦🏻	U+1F926 U+1F3FB
🤦🏻‍♀️	U+1F926 U+1F3FB U+200D U+2640 U+FE0F
🤦🏻‍♂️	U+1F926 U+1F3FB U+200D U+2642 U+FE0F
🤦🏼	U+1F926 U+1F3FC
🤦🏼‍♀️	U+1F926 U+1F3FC U+200D U+2640 U+FE0F
🤦🏼‍♂️	U+1F926 U+1F3FC U+200D U+2642 U+FE0F
🤦🏽	U+1F926 U+1F3FD
🤦🏽‍♀️	U+1F926 U+1F3FD U+200D U+2640 U+FE0F
🤦🏽‍♂️	U+1F926 U+1F3FD U+200D U+2642 U+FE0F
🤦🏾	U+1F926 U+1F3FE
🤦🏾‍♀️	U+1F926 U+1F3FE U+200D U+2640 U+FE0F
🤦🏾‍♂️	U+1F926 U+1F3FE U+200D U+2642 U+FE0F
🤦🏿	U+1F926 U+1F3FF
🤦🏿‍♀️	U+1F926 U+1F3FF U+200D U+2640 U+FE0F
🤦🏿‍♂️	U+1F926 U+1F3FF U+200D U+2642 U+FE0F
🤰🏻	U+1F930 U+1F3FB
🤰🏼	U+1F930 U+1F3FC
🤰🏽	U+1F930 U+1F3FD
🤰🏾	U+1F930 U+1F3FE
🤰🏿	U+1F930 U+1F3FF
🤱🏻	U+1F931 U+1F3FB
🤱🏼	U+1F931 U+1F3FC
🤱🏽	U+1F931 U+1F3FD
🤱🏾	U+1F931 U+1F3FE
🤱🏿	U+1F931 U+1F3FF
🤲🏻	U+1F932 U+1F3FB
🤲🏼	U+1F932 U+1F3FC
🤲🏽	U+1F932 U+1F3FD
🤲🏾	U+1F932 U+1F3FE
🤲🏿	U+1F932 U+1F3FF
🤳🏻	U+1F933 U+1F3FB
🤳🏼	U+1F933 U+1F3FC
🤳🏽	U+1F933 U+1F3FD
🤳🏾	U+1F933 U+1F3FE
🤳🏿	U+1F933 U+1F3FF
🤴🏻	U+1F934 U+1F3FB
🤴🏼	U+1F934 U+1F3FC
🤴🏽	U+1F934 U+1F3FD
🤴🏾	U+1F934 U+1F3FE
🤴🏿	U+1F934 U+1F3FF
🤵‍♀️	U+1F935 U+200D U+2640 U+FE0F
🤵‍♂️	U+1F935 U+200D U+2642 U+FE0F
🤵🏻	U+1F935 U+1F3FB
🤵🏻‍♀️	U+1F935 U+1F3FB U+200D U+2640 U+FE0F
🤵🏻‍♂️	U+1F935 U+1F3FB U+200D U+2642 U+FE0F
🤵🏼	U+1F935 U+1F3FC
🤵🏼‍♀️	U+1F935 U+1F3FC U+200D U+2640 U+FE0F
🤵🏼‍♂️	U+1F935 U+1F3FC U+200D U+2642 U+FE0F
🤵🏽	U+1F935 U+1F3FD
🤵🏽‍♀️	U+1F935 U+1F3FD U+200D U+2640 U+FE0F
